OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,ORDEN,CONCESION,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
94,2, , ,Santiago Berrío - Mulas - Cruces,60AN20, ,Segundo Orden, , , ,Santiago Berrío,Cruces, ,50.5,48.2,6.16,0,0, , ,48431.6165306711,86a1dc92-0146-4fbc-bed3-ef6105a9a6f4
95,2, , ,Mulas - Puerto Nare,60AN20-1, ,Segundo Orden, , , ,Mulas, Puerto Nare, ,11.1,11.1,7.0,0,0, , ,11116.19813765846,4d326645-6d4e-42bb-9f9d-90238dfee58f
96,2, , ,Puerto Nare - Cruces - Narices,60AN20-1-1, ,Tercer Orden, , , ,Puerto Nare,Narices, ,38.2,37.2,4.05071,0,0, , ,31176.54931987845,e0a75742-d371-46ea-a0f9-cff69274918a
97,2, , ,Narices - La Holanda,60AN20-1-1-1, ,Tercer Orden, , , ,Narices, La Holanda, ,31.6,32.0,3.523242,0,0, , ,33475.38255471743,8257e5dc-9840-41c8-8962-68bf4435f357
98,2, , ,Autopista - Puerto Triunfo,60AN21, ,Segundo Orden, , , ,Autopista, Puerto Triunfo, ,4.0,3.7,6.875,0,0, , ,3769.665010622471,8dfeb803-cccb-4d6c-ae56-44ec2bf88167
99,2, , ,Puerto Triunfo - San Miguiel,60AN21-1, ,Tercer Orden, , , ,Puerto Triunfo, San Miguiel, ,22.9,23.2,4.307846,0,0, , ,23238.75665877981,2dc9dd2d-f583-4027-8fba-7540e8a07832
100,2, , ,Santa Fe de Antioquia - Puente de Occidente - La Ye (Sopetrán),6204B, ,Segundo Orden, , , ,Santa Fe de Antioquia, La Ye (Sopetrán), ,26.8,26671.1715413,6.126316,0,0, , ,26974.07716843232,099fbacd-66eb-45f4-aa7b-0e327341877e
101,2, , ,San Pedro de Urabá - Pueblito,62AN02-1, ,Segundo Orden, , , ,San Pedro de Urabá, Pueblito, ,8.0,8.62604468,5.0,0,0, , ,7760.394084436321,43819bcd-5646-408b-888c-15cc9981c375
102,2, , ,San Pedro de Urabá - El Tambito,62AN02-2, ,Tercer Orden, , , ,El Tambito, San Pedro de Urabá, ,57.0,55.35226351,5.0,0,0, , ,54935.88085644916,18bc0efb-8616-4a10-9c09-3f3414c448c9
103,2, , ,Garrapata - Canalete,62AN02-2-1, ,Tercer Orden, , , ,Garrapata, Canalete, ,4.0,4.35389609,5.0,0,0, , ,4010.205561625495,a4b4a61a-6df5-4e17-8284-a1573daa2f4b
104,2, , ,Carepa - Saiza,62AN03, ,Tercer Orden, , , ,Carepa, Saiza, ,27.0,27.88145472,5.0,0,0, , ,24537.055276516534,a96b17d3-3c40-4cb5-b6f5-79176c148acf
105,2, , ,Caucheras - Bajirá,62AN05, ,Tercer Orden, , , ,Caucheras, Bajirá, ,28.0,27.3867636,5.0,0,0, , ,35066.98708919752,442178e1-61cc-4a7f-a70e-0b380bc1f426
106,2, , ,Mutatá - Pavarando Grande,62AN06, ,Tercer Orden, , , ,Mutatá, Pavarando Grande, ,20.0,19.34203923,5.0,0,0, , ,19215.813707579313,848784fe-1b24-4880-a503-f42cb0cdb283
107,2, , ,El Chino - Rio Verde,62AN07, ,Tercer Orden, , , ,Rio Verde, El Chino, ,12.83,12.49332361,5.0,0,0, , ,13294.186707678977,d2fcc678-3232-404b-9e85-1212e645b226
108,2, , ,La Cortada - El mango,62AN21-2, ,Segundo Orden, , , ,La Cortada, El mango, ,44.2,44.88433658,6.701124,0,0, , ,45424.483592190176,7465de70-5387-4b83-8842-3eb350992f99
109,2, , ,El Mango - Amalfi,62AN21-2-1, ,Segundo Orden, , , ,El Mango, Amalfi, ,23.6,22.94453576,7.0,0,0, , ,23859.417448262357,2e75d35c-b41b-41a8-9136-dc8db40be3b0
110,2, , ,Yalí - Maceo,62AN21-3, ,Tercer Orden, , , ,Yalí, Maceo, ,18.8,18.38015086,3.8,0,0, , ,18689.66145294799,1c2d4512-5ba2-4770-894a-111e550cd7fa
111,2, , ,Playas - Chorritos - Amalfi,62AN21-4, ,Tercer Orden, , , ,Playas,Amalfi, ,0.0,0.0,3.657071,0,0, , ,51630.86206876994,3189979a-226a-4d33-b264-96fea62ac076
112,2, , ,Chorritos - Santa Isabel,62AN21-4-1, ,Tercer Orden, , , ,Chorritos,Santa Isabel, ,0.0,0.0,3.565998,0,0, , ,59688.530422889824,6def05ca-a626-487d-be87-a90a22b5a05a
113,2, , ,Vegachí - Santa Isabel - Remedios,62AN21-5, ,Segundo Orden, , , ,Vegachí, Remedios, ,43.93,43.53200833,7.487674,0,0, , ,43870.014747178735,3a194e88-7d09-4c68-b2e7-62b8aa78c6c0
114,2, , ,La Quiebra - Santo Domingo,62AN22, ,Tercer Orden, , , ,La Quiebra, Santo Domingo, ,9.73,9.72292782,5.391087,0,0, , ,9759.571402876347,113984d7-17c1-4fc7-a623-e2526d501f1f
115,2, , ,Santo Domingo - San Roque,62AN22-1, ,Tercer Orden, , , ,Santo Domingo, San Roque, ,20.53,20.63008653,3.425816,0,0, , ,21010.650490758617,010e8a52-5c7b-4d08-bc2a-50a54ccd02ea
116,2, , ,San Roque - La Palma,62AN22-1-1, ,Tercer Orden, , , ,San Roque, La Palma, ,33.0,31.47172757,4.805373,0,0, , ,31284.737441115318,89c0360f-34f1-4f69-96b7-692e031793fc
117,2, , ,Santo Domingo - Alejandria,62AN22-2, ,Tercer Orden, , , ,Santo Domingo, Alejandria, ,18.82,18.8796166,8.453458,0,0, , ,18899.291957380865,e996a5fa-e98a-4622-8229-3d594a4e9229
118,2, , ,Alejandría - El Bizcocho (San Rafael),62AN22-2-1, ,Tercer Orden, , , ,Alejandría, El Bizcocho (San Rafael), ,18.0,17.71169783,3.394819,0,0, , ,17586.546026335065,2286b540-d242-4805-8a44-7ab1908c742b
119,2, , ,Sofia - Yolombó,62AN23, ,Tercer Orden, , , ,Sofia, Yolombó, ,11.5,11.43643844,3.474688,0,0, , ,11553.19999340377,0e0cb847-c3cf-4953-a37e-1c9a5c068142
120,2, , ,San Jorge - San Roque,62AN24, ,Segundo Orden, , , ,San Jorge, San Roque, ,11.3,11.30503169,5.545652,0,0, , ,11299.706118878004,35a8ef74-5716-44e6-8bdd-cd858f31d705
121,2, , ,Caramanta - San Roque,62AN25, ,Tercer Orden, , , ,Caramanta, San Roque, ,24.24,23.97222848,3.865556,0,0, , ,23980.46045712942,61549bdf-dc9a-4a60-bf62-7b2bc3f4bd89
122,2, , ,San José del Nus - Caracolí,62AN26, ,Segundo Orden, , , ,San José del Nus, Caracolí, ,18.2,16.9272628,6.486486,0,0, , ,17653.898930607447,217fdf9f-87b9-4b2f-bb0e-97f8261b5f9e
123,2, , ,Alto Dolores - Maceo,62AN27, ,Segundo Orden, , , ,Alto Dolores, Maceo, ,7.2,7.08773917,6.0,0,0, , ,7173.37557038301,2c06d082-f5b8-4f5b-b9d8-c492a5f10917
124,2, , ,Marsella - Caracolí,62AN28, ,Tercer Orden, , , ,Marsella, Caracolí, ,21.2,21.86305518,4.125,0,0, , ,25738.173536312435,7c258431-cf10-4beb-8965-a2dd80a56e52
125,2, , ,Puerto Berrío (Las Flores) - Cruces,62AN30, ,Segundo Orden, , , ,Puerto Berrío (Las Flores),Cruces, ,44.63,43.8007813,3.317682,0,0, , ,43738.646228185346,b9188ff9-f661-4be5-ba4e-6b7f3f03b524
126,2, , ,El Bobal - San Pedro de Urabá,90AN01, ,Tercer Orden, , , ,El Bobal, San Pedro de Urabá, ,57.0,58.89031258,5.0,0,0, , ,58653.04458359952,e19f960c-64e1-4fe5-8d29-fa7587cd1d0b
127,2, , ,Mellitos - El Tambito,90AN02, ,Tercer Orden, , , ,Mellitos, El Tambito, ,44.0,42.808455,5.0,0,0, , ,42629.40340728731,e7914c57-7cdb-4bfa-9bd5-4f4d00eebba1
128,2, , ,Arboletes - El Tambito,90AN03, ,Tercer Orden, , , ,Arboletes, El Tambito, ,26.0,25.70106509,5.0,0,0, , ,25195.838969073284,d5d502ee-787b-45cb-a1e5-f1acb0c70844
129,2, , ,El Tres - San Pedro de Urabá,62AN02, ,Segundo Orden, , , ,El Tres, San Pedro de Urabá, ,46.668,46626.09723,6.886364,0,0, , ,49638.64175918948,f8571081-6ebb-49f9-b049-f5d00e0ce9bb
130,2, , ,Molino Viejo - Santo Domingo,62AN20, ,Segundo Orden, , , ,Molino Viejo,Santo Domingo, ,19.2,19.21846074,5.945385,0,0, , ,19289.927460941773,bba7233d-2d96-4ad6-97cc-6459a42f0321
131,2, , ,Las Flores (Puerto Berrío) - La Ye,62AN29, ,Segundo Orden, , , ,Las Flores (Puerto Berrío),La Ye, ,35.0,34.97908523,5.021429,0,0, , ,34996.87787703292,f057f960-0cd0-457a-aebf-f5cb79631615
132,2, , ,La Ye - Yondo,62AN29-1, ,Tercer Orden, , , ,La Ye,Yondo, ,101.0,101.10962836,4.109289,0,0, , ,92221.98799447995,6e45b239-47b0-4c5b-8788-afb1563decb7
133,2, , ,La Metida - Concordia,60AN06, ,Segundo Orden, , , ,La Metida, Concordia, ,21.8,21.6,7.013333,0,0, , ,21733.04244740611,98c57a0e-5720-42b1-b01b-4ee137a59b73
134,2, , ,San Jerónimo - San Pedro de Los Milagros,62AN16, ,Segundo Orden, , , ,San Jerónimo,San Pedro de Los Milagros, ,31.72,31.85303692,7.0,0,0, , ,34081.27448166223,287e2a9e-9054-4e3a-b177-8b21f1aa1379
