OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,CONCESION,ORDEN,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
11,1, , ,La Pintada - Bolombolo,25B01,ANI - La Pintada S.A.S,CONCESIÓN LA PINTADA S.A.S,Primer Orden,La Pintada - Peñalisa,25B, , , ,0,0,1,0,0, , ,40450.03823034562,4904e66e-4167-49c0-a285-a3fb19b697a2
12,1, , ,Rionegro - El Carmen de Viboral,56AN02-1,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,Rionegro - El Carmen de Viboral,56, , , ,0,0,1,0,0, , ,8520.10389056147,059ece54-8696-4cf0-b6f3-9f0bd9e9e95e
13,1, , ,La Fe - El Retiro,56AN01,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,La Fe - El Retiro,56, , , ,0,0,1,0,0, , ,3812.239159500768,54bcd1e7-5de1-4b66-96d9-38385c1bee5b
14,1, , ,Cisneros - Puerto Berrío (Incluye el Puente del río Magdalena),6206,ANI - RÍo Magdalena S.A.S,RÍo Magdalena S.A.S,Primer Orden,Alto Dolores - Puerto Berrío,62, , , ,0,0,1,0,0, , ,56559.66077503824,c37f59f1-af08-4ebf-9a5a-7253f2d7ae1a
15,1, , ,Medellín - Los Llanos,2510,Gobernación de Antioquia (Hatovial S.A.),Hatovial S.A.,Primer Orden,Medellín - Hatillo - Don Matías (La Cabaña),25, , , ,0,0,1,0,0, , ,81045.3516937516,43c8a0a9-bcad-4aaa-b830-b34c98e96cf5
16,1, , ,Dabeiba - Santa Fe de Antioquia,6203,ANI - Autopistas Urabá,AUTOPISTAS URABA SAS,Primer Orden,Dabeiba - Santa Fe de Antioquia,62, , , ,0,0,1,0,0, , ,60206.02073280456,65aa939a-69e7-43f1-b7ee-5cef624fee52
17,1, , ,Los Llanos - Tarazá,2511,INVIAS - Antioquia, ,Primer Orden,Los Llanos - Tarazá,25, , , ,0,0,1,0,0, , ,124237.31141582572,30d40f1d-fbcb-460a-95e2-7425943c993a
18,1, , ,Tarazá  - Caucasia,2512,INVIAS - Antioquia, ,Primer Orden,Tarazá - Caucasia,25, , , ,0,0,1,0,0, , ,63186.379649455186,7a543827-ae24-47cf-a449-00363909d475
19,1, , ,Medellin - El Santuario,6004,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,Medellín - El Santuario,60, , , ,0,0,1,0,0, , ,93927.71651310092,33251b3b-f36d-4031-9092-e7cd360486c3
20,1, , ,El Santuario - Cruce Ruta 45 (Caño Alegre),6005,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,El Santuario - Cruce Ruta 45 (Caño Alegre),60, , , ,0,0,1,0,0, , ,135635.59305161636,c91f2c37-bb71-40a3-8eb2-505eb40ac7b2
21,1, , ,Turbo - Chigorodó,6201,ANI - Vias de las Americas S.A.S,CONSORCIO VÍAS DE LAS AMÉRICAS S.A.,Primer Orden,Turbo - Chigorodó,62, , , ,0,0,1,0,0, , ,54560.37875950806,9f779724-7f18-4688-8173-9a79fa902b3c
22,1, , ,Chigorodó - Dabeiba,6202,ANI - Autopistas Urabá,AUTOPISTAS URABA SAS,Primer Orden,Chigorodó - Dabeiba,62, , , ,0,0,1,0,0, , ,101369.19970660855,7fb15ee1-b276-4eb9-aaf6-393710baf3aa
23,1, , ,Turbo - Necoclí,9001,ANI - Vias de las Americas S.A.S,Vias de las Americas S.A.S,Primer Orden,Turbo - Necoclí,90, , , ,0,0,1,0,0, , ,45716.528891878675,f386f5ef-bcb6-4d5b-ac22-58435c0aebc7
24,1, , ,Bolombolo - Santafe de Antioquia,25B02,ANI- Consorcio  Estructura Plural SAC,DESARROLLO VIAL AL MAR S.A.S,Primer Orden,Bolombolo - Santa Fe de Antioquia,25B, , , ,0,0,1,0,0, , ,72486.9262052095,a099b1a9-85db-4c1a-b40c-07a0082b5aee
25,1, , ,Don Diego - Rionegro - Marinilla,56AN02,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,Don Diego - Rionegro - Marinilla,56, , , ,0,0,1,0,0, , ,21973.035931741735,1fbb8618-7d7e-47ea-950d-cc3b96118c49
26,1, , ,La Ceja - Rionegro,56AN03,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,La Ceja - Rionegro,56, , , ,0,0,1,0,0, , ,16645.626600376156,e87da41a-9c3a-4af8-960a-e5bcfb900fcb
27,1, , ,El Tigre - Lomas Aisladas,62AN04,ANI - Vias de las Americas S.A.S,CONSORCIO VÍAS DE LAS AMÉRICAS S.A.,Primer Orden,El Tigre (Cruce Ruta 62) - Lomas Aisladas, , , , ,0,0,1,0,0, , ,39479.2068725075,c364d515-a43c-4db5-be49-3cc957989085
